row_id,split,label
0,test,0
1,test,1
2,train,1
3,train,1
4,val,1
5,train,1
6,train,0
7,train,0
8,train,0
9,train,1
10,train,0
11,train,0
12,train,1
13,train,1
14,train,1
15,train,1
16,train,0
17,train,0
18,train,0
19,val,0
20,test,0
21,val,0
22,train,1
23,val,1
24,train,0
25,train,1
26,train,1
27,val,0
28,train,0
29,train,0
30,test,1
31,train,1
32,train,0
33,train,1
34,train,0
35,test,1
36,train,1
37,val,0
38,val,0
39,train,0
40,train,1
41,train,1
42,train,0
43,train,1
44,train,0
45,train,1
46,test,0
47,val,1
48,train,1
49,train,0
50,train,0
51,train,1
52,train,1
53,test,1
54,train,1
55,train,1
56,val,0
57,val,0
58,val,0
59,test,0
60,train,0
61,train,0
62,val,0
63,test,0
64,val,0
65,test,1
66,test,1
67,train,1
68,val,0
69,train,0
70,train,1
71,train,0
72,test,0
73,train,0
74,train,1
75,train,0
76,train,0
77,train,1
78,train,0
79,val,1
80,train,0
81,train,0
82,train,0
83,train,1
84,test,0
85,val,1
86,train,1
87,val,1
88,train,0
89,train,1
90,train,1
91,train,0
92,train,0
93,val,0
94,train,0
95,test,0
96,val,1
97,test,0
98,test,1
99,train,0
100,test,1
101,train,1
102,test,0
103,test,1
104,train,1
105,test,1
106,train,1
107,train,0
108,test,1
109,test,1
110,train,0
111,test,1
112,train,0
113,train,0
114,test,0
115,train,1
116,test,1
117,train,0
118,train,1
119,train,1
120,test,1
121,test,0
122,test,1
123,train,1
124,train,1
125,train,0
126,train,0
127,val,0
128,test,1
129,val,1
130,val,1
131,train,1
132,train,1
133,train,0
134,train,1
135,train,0
136,train,1
137,train,1
138,train,0
139,train,1
140,val,1
141,train,0
142,train,0
143,train,0
144,train,0
145,train,0
146,train,0
147,val,0
148,val,1
149,train,1
150,train,0
151,train,1
152,train,1
153,train,1
154,train,1
155,train,0
156,val,0
157,test,0
158,train,1
159,train,0
160,test,0
161,test,1
162,test,1
163,val,0
164,test,0
165,train,1
166,val,0
167,val,1
168,test,1
169,test,0
170,train,0
171,train,1
172,test,1
173,val,0
174,train,1
175,train,0
176,val,0
177,train,0
178,train,0
179,train,0
180,train,0
181,val,1
182,val,0
183,train,0
184,val,0
185,train,1
186,test,0
187,train,1
188,train,0
189,train,0
190,train,1
191,train,0
192,train,0
193,train,1
194,train,0
195,test,1
196,train,0
197,train,0
198,train,0
199,test,0
200,train,0
201,train,0
202,train,0
203,test,0
204,val,1
205,val,0
206,val,0
207,train,1
208,test,1
209,train,0
210,train,1
211,train,0
212,train,0
213,train,1
214,train,0
215,train,0
216,val,0
217,train,1
218,val,0
219,train,1
220,train,1
221,test,1
222,train,0
223,val,1
224,train,0
225,train,0
226,train,1
227,train,0
228,train,0
229,train,0
230,train,1
231,train,1
232,train,1
233,val,1
234,test,0
235,train,0
236,test,0
237,test,0
238,train,1
239,train,1
240,train,1
241,train,0
242,train,0
243,train,0
244,train,1
245,train,1
246,test,1
247,train,0
248,val,0
249,train,0
250,train,1
251,train,1
252,train,1
253,train,1
254,train,0
255,train,0
256,test,1
257,train,1
258,train,0
259,train,0
260,test,0
261,train,0
262,train,0
263,train,0
264,val,0
265,train,1
266,train,1
267,train,1
268,val,1
269,train,1
270,train,1
271,train,1
272,train,0
273,train,0
274,val,0
275,train,0
276,train,0
277,train,0
278,val,0
279,test,0
280,train,0
281,train,1
282,train,0
283,train,0
284,train,1
285,train,0
286,val,0
287,train,0
288,train,0
289,test,1
290,test,0
291,train,1
292,train,0
293,train,1
294,val,1
295,train,1
296,train,1
297,train,0
298,train,1
299,train,0
300,test,1
301,train,0
302,train,1
303,val,0
304,train,0
305,train,0
306,train,0
307,train,1
308,train,1
309,train,1
310,train,1
311,test,1
312,train,1
313,train,0
314,train,0
315,train,1
316,train,0
317,val,0
318,val,1
319,train,1
320,train,1
321,test,1
322,train,0
323,train,1
324,train,0
325,train,1
326,test,1
327,train,1
328,train,1
329,train,0
330,train,1
331,val,1
332,train,1
333,train,1
334,train,1
335,train,1
336,train,1
337,train,0
338,test,1
339,train,1
340,train,1
341,train,0
342,train,0
343,train,1
344,train,0
345,train,1
346,test,0
347,train,1
348,train,1
349,test,1
350,train,0
351,train,1
352,train,1
353,train,1
354,train,0
355,val,1
356,test,1
357,test,1
358,train,0
359,val,1
360,train,1
361,train,1
362,test,0
363,train,0
364,test,1
365,train,1
366,train,0
367,test,0
368,train,0
369,val,0
370,test,1
371,val,0
372,train,1
373,train,0
374,test,1
375,train,0
376,train,0
377,train,0
378,test,1
379,test,0
380,train,0
381,train,1
382,test,0
383,test,0
384,train,1
385,test,0
386,train,1
387,val,0
388,test,0
389,train,1
390,train,0
391,val,1
392,train,0
393,train,1
394,val,1
395,train,0
396,train,1
397,train,0
398,val,0
399,train,0
400,val,0
401,val,0
402,train,1
403,train,0
404,train,1
405,train,0
406,train,1
407,val,1
408,train,0
409,train,1
410,train,1
411,test,1
412,train,1
413,test,0
414,train,0
415,train,1
416,train,0
417,train,1
418,train,1
419,train,0
420,train,0
421,test,1
422,train,0
423,train,1
424,val,1
425,val,0
426,test,1
427,train,1
428,train,0
429,val,0
430,test,0
431,train,0
432,train,0
433,train,1
434,train,0
435,val,1
436,train,1
437,train,1
438,val,0
439,test,0
440,train,1
441,val,1
442,train,0
443,test,0
444,train,1
445,val,1
446,val,1
447,train,0
448,val,0
449,test,1
450,train,0
451,val,1
452,train,0
453,train,1
454,train,1
455,train,0
456,train,0
457,train,0
458,train,0
459,test,1
460,train,0
461,train,1
462,train,0
463,train,0
464,train,1
465,train,1
466,train,0
467,train,0
468,train,0
469,train,0
470,train,1
471,val,0
472,train,1
473,train,1
474,train,1
475,train,0
476,val,0
477,train,1
478,train,0
479,train,0
480,train,0
481,test,1
482,train,1
483,train,1
484,train,1
485,train,1
486,train,1
487,val,1
488,train,0
489,train,1
490,test,1
491,train,0
492,val,1
493,test,0
494,train,0
495,train,1
496,train,0
497,test,0
498,train,1
499,test,0
500,test,0
501,train,1
502,train,0
503,train,0
504,train,0
505,test,1
506,train,1
507,train,1
508,train,0
509,train,1
510,test,0
511,train,1
512,train,0
513,train,1
514,val,0
515,train,0
516,val,1
517,val,1
518,train,1
519,train,0
520,train,0
521,test,1
522,train,0
523,train,1
524,train,0
525,train,1
526,train,0
527,train,1
528,train,0
529,val,0
530,test,1
531,val,0
532,train,0
533,val,0
534,train,0
535,train,1
536,test,1
537,train,0
